game_date,drive,goal_to_go,air_yards,yards_after_catch,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,interception,punt_inside_twenty,tackled_for_loss,qb_hit,pass_attempt,sack,punt_attempt,fumble,return_yards,third_down_perc,fourth_down_perc,pass_perc,yards_per_deep_pass,yards_per_rush,yards_per_short_pass,yards_per_play,home,team_score
2016-01-24,25,11.0,356.0,144.0,0.0,8.0,11.0,2.0,1.0,0.0,6.0,2.0,30.0,1.0,3.0,1.0,93.0,0.0005772422252687784,0.0,0.0003201455819909685,23.11111111111111,4.108108108108108,6.684210526315789,7.134328358208955,1,48
2016-01-31,26,4.0,520.0,135.0,0.0,7.0,18.0,0.0,1.0,0.0,1.0,0.0,34.0,0.0,2.0,1.0,61.0,0.0005052327679538073,0.0,0.00033697831544540107,23.166666666666668,3.4642857142857144,6.4,8.14516129032258,0,49
2016-01-31,25,7.0,504.0,206.0,0.0,7.0,19.0,1.0,6.0,0.0,1.0,2.0,51.0,1.0,1.0,2.0,71.0,0.0006495381062355658,0.001539645881447267,0.0004885938605654211,11.214285714285714,3.8125,7.235294117647059,6.82089552238806,1,27
2016-02-07,30,1.0,419.0,97.0,0.0,8.0,10.0,3.0,1.0,1.0,1.0,12.0,48.0,7.0,7.0,5.0,100.0,0.00021635655560363478,0.0,0.00030322428489606144,11.909090909090908,4.214285714285714,4.466666666666667,4.144736842105263,0,10
2016-02-07,29,4.0,159.0,60.0,0.0,4.0,5.0,2.0,1.0,2.0,4.0,5.0,29.0,5.0,8.0,2.0,63.0,7.211885186787827e-05,0.0,0.00021904328632327418,15.666666666666666,3.2142857142857144,4.7,3.43859649122807,1,23
2018-01-06,19,2.0,236.0,150.0,0.0,3.0,14.0,2.0,0.0,0.0,3.0,4.0,37.0,4.0,5.0,1.0,101.0,0.0002886002886002886,0.0,0.0004043876055198908,6.75,4.3125,8.172413793103448,6.132075471698113,1,21
2018-01-06,20,4.0,304.0,114.0,0.0,9.0,12.0,2.0,1.0,2.0,1.0,3.0,35.0,2.0,3.0,1.0,91.0,0.0005772838793476692,0.0,0.000320129399673131,2.75,6.516129032258065,7.956521739130435,6.015151515151516,0,22
2018-01-06,24,8.0,136.0,154.0,0.0,7.0,13.0,0.0,0.0,0.0,4.0,5.0,33.0,3.0,5.0,1.0,39.0,0.0003606722931544399,0.0007698229407236335,0.0003538391548299045,13.5,3.1794871794871793,6.821428571428571,4.472222222222222,0,26
2018-01-06,23,8.0,414.0,61.0,0.0,5.0,12.0,2.0,0.0,5.0,2.0,6.0,48.0,3.0,5.0,1.0,124.0,0.0003606983119319002,0.0007686395080707148,0.0004043058573811088,13.0,7.1875,4.1891891891891895,5.640625,1,13
2018-01-07,23,5.0,249.0,99.0,0.0,8.0,8.0,4.0,2.0,5.0,5.0,6.0,42.0,2.0,8.0,2.0,14.0,0.0005049047893825736,0.0007698229407236335,0.0003032345013477089,0.0,4.0625,4.111111111111111,3.554054054054054,0,3
2018-01-07,24,4.0,81.0,45.0,0.0,9.0,6.0,0.0,0.0,3.0,3.0,5.0,25.0,2.0,9.0,2.0,21.0,0.00014426891726177594,0.0007698229407236335,0.00020218698926724064,20.0,4.5588235294117645,3.1904761904761907,3.8983050847457625,1,10
2018-01-07,21,4.0,395.0,139.0,0.0,5.0,16.0,3.0,0.0,1.0,2.0,6.0,45.0,4.0,3.0,0.0,17.0,0.0005771172990910403,0.0007692307692307692,0.0004043331030880941,9.222222222222221,4.115384615384615,8.3125,5.816901408450704,0,26
2018-01-07,22,4.0,379.0,144.0,0.0,3.0,17.0,1.0,1.0,1.0,4.0,4.0,34.0,1.0,4.0,2.0,12.0,0.0001443105563171946,0.0,0.000387538121956562,18.5,1.8636363636363635,8.304347826086957,7.321428571428571,1,31
2018-01-13,17,10.0,295.0,93.0,0.0,6.0,11.0,3.0,0.0,4.0,4.0,11.0,39.0,3.0,6.0,1.0,31.0,0.00028855864954552014,0.0007692307692307692,0.00037065741146342283,5.857142857142857,4.3,5.827586206896552,4.762711864406779,0,10
2018-01-13,18,4.0,155.0,157.0,0.0,8.0,12.0,2.0,0.0,2.0,4.0,4.0,31.0,1.0,3.0,3.0,48.0,0.0004329004329004329,0.0007698229407236335,0.00038755118203110517,0.0,3.0,9.11111111111111,5.301587301587301,1,15
2018-01-13,21,10.0,354.0,187.0,0.0,8.0,20.0,3.0,0.0,2.0,1.0,4.0,53.0,0.0,4.0,0.0,27.0,0.0007937080597445704,0.0,0.0005896425081707605,10.4,3.740740740740741,5.9375,5.475,1,35
2018-01-13,20,0.0,426.0,70.0,0.0,3.0,11.0,1.0,0.0,2.0,1.0,10.0,46.0,8.0,7.0,0.0,110.0,0.0003606462781304097,0.0015384615384615385,0.00038749894701373095,8.333333333333334,4.0625,6.517241379310345,4.467741935483871,0,14
2018-01-14,24,7.0,267.0,114.0,0.0,9.0,12.0,1.0,0.0,3.0,0.0,4.0,26.0,0.0,4.0,1.0,47.0,0.0005772422252687784,0.0007698229407236335,0.0002358808464752662,11.25,4.685714285714286,7.681818181818182,6.19672131147541,0,44
2018-01-14,23,5.0,428.0,267.0,0.0,4.0,23.0,1.0,1.0,0.0,3.0,7.0,60.0,2.0,2.0,1.0,104.0,0.0005049776367046602,0.0030745580322828594,0.0006233153638814016,17.272727272727273,4.166666666666667,5.9361702127659575,6.884615384615385,1,42
2018-01-14,24,7.0,347.0,134.0,0.0,7.0,12.0,5.0,1.0,2.0,2.0,8.0,42.0,2.0,4.0,0.0,13.0,0.0007215007215007215,0.0,0.00042120160393570777,15.3,3.1666666666666665,5.5,5.597222222222222,1,29
2018-01-14,23,2.0,353.0,125.0,0.0,5.0,18.0,0.0,2.0,1.0,2.0,3.0,43.0,2.0,4.0,1.0,87.0,0.0001443001443001443,0.0007698229407236335,0.00042120160393570777,0.0,3.3333333333333335,7.945945945945946,5.343283582089552,0,24
2018-01-21,23,2.0,321.0,146.0,0.0,6.0,16.0,0.0,0.0,4.0,1.0,7.0,39.0,3.0,6.0,1.0,66.0,0.0004328379743182802,0.0,0.0003875120044479639,10.25,3.15625,7.535714285714286,5.267605633802817,0,20
2018-01-21,24,8.0,431.0,114.0,0.0,3.0,16.0,3.0,0.0,3.0,2.0,7.0,42.0,3.0,6.0,1.0,34.0,0.0002164189871591401,0.0007698229407236335,0.000454913061059442,12.307692307692308,2.4210526315789473,5.769230769230769,5.639344262295082,1,24
2018-01-21,17,4.0,263.0,148.0,0.0,4.0,17.0,1.0,2.0,0.0,0.0,8.0,49.0,1.0,3.0,1.0,60.0,0.0004329004329004329,0.0,0.00047171400653660836,20.0,3.888888888888889,4.340909090909091,4.970149253731344,0,7
2018-01-21,18,3.0,330.0,158.0,0.0,7.0,19.0,1.0,0.0,3.0,3.0,5.0,34.0,1.0,3.0,0.0,0.0,0.0007216569242981886,0.0,0.00043810133620907543,24.571428571428573,3.6666666666666665,7.2,7.125,1,37
2018-01-28,18,5.0,420.0,129.0,0.0,4.0,12.0,2.0,3.0,0.0,1.0,0.0,39.0,0.0,0.0,0.0,79.0,0.0003607763907929865,0.0007686395080707148,0.00042122289430675133,16.8,1.4166666666666667,4.413793103448276,6.137254901960785,1,24
2018-01-28,17,2.0,304.0,100.0,0.0,4.0,16.0,0.0,1.0,0.0,2.0,7.0,44.0,3.0,1.0,2.0,1.0,0.0005050869471101812,0.0007686395080707148,0.0004380496680931361,4.0,3.1578947368421053,5.583333333333333,3.984126984126984,0,22
2018-02-04,21,4.0,559.0,211.0,0.0,4.0,23.0,2.0,0.0,0.0,0.0,9.0,50.0,1.0,0.0,1.0,45.0,0.00036080242459229326,0.0007692307692307692,0.00047169016694462694,17.53846153846154,5.136363636363637,8.147058823529411,8.51388888888889,1,33
2018-02-04,20,10.0,422.0,174.0,0.0,6.0,19.0,0.0,1.0,0.0,3.0,5.0,46.0,0.0,1.0,0.0,106.0,0.000721552781585973,0.001539645881447267,0.0004885938605654211,11.333333333333334,6.074074074074074,7.771428571428571,7.36986301369863,0,41
2017-01-07,31,5.0,215.0,63.0,0.0,7.0,9.0,3.0,0.0,4.0,4.0,0.0,25.0,0.0,9.0,1.0,116.0,0.00028851702250432774,0.0,0.00023588482081178077,11.4,2.7954545454545454,5.55,4.217391304347826,1,27
2017-01-07,30,3.0,435.0,53.0,0.0,3.0,11.0,2.0,3.0,2.0,4.0,3.0,48.0,3.0,10.0,2.0,113.0,0.00014422730222831182,0.0007692307692307692,0.00030321406913280777,2.0,3.0476190476190474,4.0285714285714285,2.9420289855072466,0,14
2017-01-07,18,0.0,258.0,110.0,0.0,2.0,10.0,1.0,0.0,2.0,1.0,5.0,35.0,3.0,5.0,0.0,81.0,0.00014427932477276007,0.0,0.0003032651548337096,10.285714285714286,3.2666666666666666,5.32,4.62,0,6
2017-01-07,19,9.0,196.0,91.0,0.0,9.0,13.0,2.0,0.0,1.0,3.0,9.0,33.0,3.0,3.0,1.0,20.0,0.0006493506493506494,0.001539645881447267,0.00038755118203110517,22.0,4.657894736842105,5.230769230769231,5.450704225352113,1,26
2017-01-08,20,4.0,250.0,89.0,0.0,1.0,16.0,1.0,1.0,0.0,4.0,8.0,42.0,5.0,2.0,3.0,138.0,0.0004328692013563235,0.0015372790161414297,0.0004886597243285142,24.75,2.4761904761904763,5.9375,4.841269841269841,0,12
2017-01-08,21,6.0,117.0,157.0,0.0,9.0,7.0,3.0,2.0,0.0,3.0,2.0,19.0,1.0,2.0,0.0,85.0,0.0002886419396738346,0.0,0.00021906543315976612,0.0,5.114285714285714,12.3125,6.796296296296297,1,30
2017-01-08,27,4.0,477.0,122.0,0.0,5.0,17.0,1.0,0.0,3.0,1.0,3.0,45.0,5.0,6.0,0.0,112.0,0.0003606983119319002,0.0007692307692307692,0.0004211945076236206,13.857142857142858,3.0,6.461538461538462,5.8,1,38
